Species	Section	Karyotype	Genome size (2C, pg*)
R. breviuscula Pfeiffer	Dichromena	2n=2x=10	0.83
R. colorata (L.) H. Pfeiff.	Dichromena	2n=2x=10	-
R. nervosa (Vahl) Böckeler	Dichromena	2n=2x=10	0.78
R. nervosa subsp. ciliata (Vahl) Kükenth.	Dichromena	2n=2x=10	1.1
R. pubera (Vahl) Böckeler	Dichromena	2n=2x=10	3.3
R. ridleyi C.B. Clarke	Pseudocapitatae	2n=2x=12	1.02
R. radicans (Schltdl. & Cham.) H. Pfeiff.	Pseudocapitatae	2n=2x=10	0.87
R. radicans var. watsonii (Britton) Kük.	Pseudocapitatae	2n=2x=10	-
R. tenuis Link	Tenues	2n=2x=4	0.8
R. riparia Boeck.	Tenues	2n=2x=10	0.64
R. tenuis subsp. austro-brasiliensis T. Koyama	Tenues	2n=2x=10	2.32
R. tenerrima Nees ex Sprengel	Spermodontes	2n=4x=20	1.14
R. filiformis Vahl	Spermodontes	2n=2x=10	-
R. alba (L.) Vahl	Albae	2n=2x=26	-
R. rugosa (Vahl) Gale	Glaucae	2n=2x=36	0.51
R. cephalotes (L.) Vahl	Cephalotae	2n=2x=18	0.68
R. holoschoenoides (Rich.) Herter	Polycephalae	2n=2x=10	1.04
R. gaudichaudii (Brongn.) L.B. Sm	Polycephalae	2n=3x=15	-
R. barbata (Vahl) Kunth.	Pauciflorae	2n=2x=10	1.28
R. corymbosa (L.) Britton	Longirostres	2n=2x=18	0.77
* Genome size values correspond to nuclear 2C DNA content estimates obtained by flow cytometry from Burchardt et al. (2020).			
