element_group	superfamily	lineage	structural_status	element_length_bp	ltr_length_bp	ltr1_length_bp	ltr2_length_bp
LTR_retrotransposon	Copia	Ale	complete	4158	372		
LTR_retrotransposon	Copia	Ale	complete	4254	220		
LTR_retrotransposon	Copia	Ale	complete	4255	286		
LTR_retrotransposon	Copia	Ale	complete	4366	371		
LTR_retrotransposon	Copia	Ale	complete	4404	178		
LTR_retrotransposon	Copia	Ale	complete	4438	277		
LTR_retrotransposon	Copia	Ale	complete	4488	336		
LTR_retrotransposon	Copia	Ale	complete	4500	224		
LTR_retrotransposon	Copia	Ale	complete	4507	229		
LTR_retrotransposon	Copia	Ale	complete	4520	336		
LTR_retrotransposon	Copia	Ale	complete	4539	218		
LTR_retrotransposon	Copia	Ale	complete	4543	166		
LTR_retrotransposon	Copia	Ale	complete	4556	309		
LTR_retrotransposon	Copia	Ale	complete	4566	401		
LTR_retrotransposon	Copia	Ale	complete	4572	307		
LTR_retrotransposon	Copia	Ale	complete	4573	194		
LTR_retrotransposon	Copia	Ale	complete	4573	240		
LTR_retrotransposon	Copia	Ale	complete	4577	223		
LTR_retrotransposon	Copia	Ale	complete	4582	179		
LTR_retrotransposon	Copia	Ale	complete	4587	336		
LTR_retrotransposon	Copia	Ale	complete	4594	286		
LTR_retrotransposon	Copia	Ale	complete	4595	227		
LTR_retrotransposon	Copia	Ale	complete	4595	206		
LTR_retrotransposon	Copia	Ale	complete	4595	371		
LTR_retrotransposon	Copia	Ale	complete	4596	286		
LTR_retrotransposon	Copia	Ale	complete	4597	247		
LTR_retrotransposon	Copia	Ale	complete	4604	309		
LTR_retrotransposon	Copia	Ale	complete	4608	329		
LTR_retrotransposon	Copia	Ale	complete	4613	265		
LTR_retrotransposon	Copia	Ale	complete	4613	371		
LTR_retrotransposon	Copia	Ale	complete	4614	205		
LTR_retrotransposon	Copia	Ale	complete	4615	245		
LTR_retrotransposon	Copia	Ale	complete	4616	238		
LTR_retrotransposon	Copia	Ale	complete	4618	217		
LTR_retrotransposon	Copia	Ale	complete	4619	220		
LTR_retrotransposon	Copia	Ale	complete	4621	396		
LTR_retrotransposon	Copia	Ale	complete	4625	204		
LTR_retrotransposon	Copia	Ale	complete	4629	183		
LTR_retrotransposon	Copia	Ale	complete	4629	209		
LTR_retrotransposon	Copia	Ale	complete	4632	204		
LTR_retrotransposon	Copia	Ale	complete	4639	333		
LTR_retrotransposon	Copia	Ale	complete	4640	371		
LTR_retrotransposon	Copia	Ale	complete	4640	200		
LTR_retrotransposon	Copia	Ale	complete	4640	198		
LTR_retrotransposon	Copia	Ale	complete	4640	299		
LTR_retrotransposon	Copia	Ale	complete	4640	248		
LTR_retrotransposon	Copia	Ale	complete	4642	373		
LTR_retrotransposon	Copia	Ale	complete	4644	371		
LTR_retrotransposon	Copia	Ale	complete	4650	249		
LTR_retrotransposon	Copia	Ale	complete	4653	286		
LTR_retrotransposon	Copia	Ale	complete	4657	371		
LTR_retrotransposon	Copia	Ale	complete	4661	301		
LTR_retrotransposon	Copia	Ale	complete	4665	177		
LTR_retrotransposon	Copia	Ale	complete	4667	371		
LTR_retrotransposon	Copia	Ale	complete	4669	248		
LTR_retrotransposon	Copia	Ale	complete	4672	236		
LTR_retrotransposon	Copia	Ale	complete	4672	135		
LTR_retrotransposon	Copia	Ale	complete	4675	295		
LTR_retrotransposon	Copia	Ale	complete	4675	287		
LTR_retrotransposon	Copia	Ale	complete	4676	164		
LTR_retrotransposon	Copia	Ale	complete	4676	405		
LTR_retrotransposon	Copia	Ale	complete	4677	164		
LTR_retrotransposon	Copia	Ale	complete	4677	395		
LTR_retrotransposon	Copia	Ale	complete	4679	170		
LTR_retrotransposon	Copia	Ale	complete	4681	165		
LTR_retrotransposon	Copia	Ale	complete	4682	206		
LTR_retrotransposon	Copia	Ale	complete	4682	163		
LTR_retrotransposon	Copia	Ale	complete	4682	201		
LTR_retrotransposon	Copia	Ale	complete	4683	199		
LTR_retrotransposon	Copia	Ale	complete	4684	202		
LTR_retrotransposon	Copia	Ale	complete	4684	279		
LTR_retrotransposon	Copia	Ale	complete	4684	164		
LTR_retrotransposon	Copia	Ale	complete	4686	201		
LTR_retrotransposon	Copia	Ale	complete	4687	295		
LTR_retrotransposon	Copia	Ale	complete	4690	329		
LTR_retrotransposon	Copia	Ale	complete	4693	323		
LTR_retrotransposon	Copia	Ale	complete	4694	342		
LTR_retrotransposon	Copia	Ale	complete	4698	322		
LTR_retrotransposon	Copia	Ale	complete	4698	329		
LTR_retrotransposon	Copia	Ale	complete	4698	163		
LTR_retrotransposon	Copia	Ale	complete	4698	329		
LTR_retrotransposon	Copia	Ale	complete	4698	256		
LTR_retrotransposon	Copia	Ale	complete	4699	329		
LTR_retrotransposon	Copia	Ale	complete	4699	196		
LTR_retrotransposon	Copia	Ale	complete	4701	235		
LTR_retrotransposon	Copia	Ale	complete	4701	300		
LTR_retrotransposon	Copia	Ale	complete	4706	318		
LTR_retrotransposon	Copia	Ale	complete	4707	164		
LTR_retrotransposon	Copia	Ale	complete	4708	327		
LTR_retrotransposon	Copia	Ale	complete	4709	351		
LTR_retrotransposon	Copia	Ale	complete	4710	323		
LTR_retrotransposon	Copia	Ale	complete	4710	323		
LTR_retrotransposon	Copia	Ale	complete	4711	330		
LTR_retrotransposon	Copia	Ale	complete	4711	329		
LTR_retrotransposon	Copia	Ale	complete	4712	322		
LTR_retrotransposon	Copia	Ale	complete	4713	164		
LTR_retrotransposon	Copia	Ale	complete	4713	352		
LTR_retrotransposon	Copia	Ale	complete	4714	193		
LTR_retrotransposon	Copia	Ale	complete	4718	201		
LTR_retrotransposon	Copia	Ale	complete	4718	330		
LTR_retrotransposon	Copia	Ale	complete	4720	163		
LTR_retrotransposon	Copia	Ale	complete	4720	346		
LTR_retrotransposon	Copia	Ale	complete	4723	201		
LTR_retrotransposon	Copia	Ale	complete	4728	331		
LTR_retrotransposon	Copia	Ale	complete	4730	329		
LTR_retrotransposon	Copia	Ale	complete	4731	214		
LTR_retrotransposon	Copia	Ale	complete	4733	301		
LTR_retrotransposon	Copia	Ale	complete	4734	150		
LTR_retrotransposon	Copia	Ale	complete	4734	330		
LTR_retrotransposon	Copia	Ale	complete	4736	372		
LTR_retrotransposon	Copia	Ale	complete	4739	293		
LTR_retrotransposon	Copia	Ale	complete	4740	269		
LTR_retrotransposon	Copia	Ale	complete	4740	341		
LTR_retrotransposon	Copia	Ale	complete	4742	394		
LTR_retrotransposon	Copia	Ale	complete	4742	152		
LTR_retrotransposon	Copia	Ale	complete	4742	170		
LTR_retrotransposon	Copia	Ale	complete	4742	165		
LTR_retrotransposon	Copia	Ale	complete	4743	164		
LTR_retrotransposon	Copia	Ale	complete	4744	202		
LTR_retrotransposon	Copia	Ale	complete	4744	178		
LTR_retrotransposon	Copia	Ale	complete	4746	201		
LTR_retrotransposon	Copia	Ale	complete	4746	181		
LTR_retrotransposon	Copia	Ale	complete	4747	329		
LTR_retrotransposon	Copia	Ale	complete	4748	329		
LTR_retrotransposon	Copia	Ale	complete	4748	158		
LTR_retrotransposon	Copia	Ale	complete	4749	181		
LTR_retrotransposon	Copia	Ale	complete	4749	323		
LTR_retrotransposon	Copia	Ale	complete	4749	181		
LTR_retrotransposon	Copia	Ale	complete	4749	189		
LTR_retrotransposon	Copia	Ale	complete	4750	201		
LTR_retrotransposon	Copia	Ale	complete	4752	405		
LTR_retrotransposon	Copia	Ale	complete	4752	329		
LTR_retrotransposon	Copia	Ale	complete	4752	170		
LTR_retrotransposon	Copia	Ale	complete	4752	162		
LTR_retrotransposon	Copia	Ale	complete	4752	405		
LTR_retrotransposon	Copia	Ale	complete	4752	306		
LTR_retrotransposon	Copia	Ale	complete	4754	263		
LTR_retrotransposon	Copia	Ale	complete	4754	327		
LTR_retrotransposon	Copia	Ale	complete	4755	329		
LTR_retrotransposon	Copia	Ale	complete	4755	327		
LTR_retrotransposon	Copia	Ale	complete	4758	443		
LTR_retrotransposon	Copia	Ale	complete	4758	201		
LTR_retrotransposon	Copia	Ale	complete	4759	263		
LTR_retrotransposon	Copia	Ale	complete	4760	201		
LTR_retrotransposon	Copia	Ale	complete	4760	164		
