Superfamily	Lineage	Structural status	TEs number	Median TEs (bp)	Median LTR (bp)
LARD	LARD	incomplete	7547	7251,0	1751,0
Copia	Ale	complete	2345	5321,0	288,0
Copia	Ale	incomplete	2630	4806,5	238,5
Copia	Alesia	complete	163	5193,0	416,0
Copia	Alesia	incomplete	480	3847,0	390,5
Copia	Angela	complete	178	9503,5	1797,0
Copia	Angela	incomplete	673	9613,0	1774,0
Copia	Bianca	complete	89	5989,0	247,0
Copia	Bianca	incomplete	752	5581,0	256,5
Copia	Ikeros	complete	1560	7010,5	565,0
Copia	Ikeros	incomplete	2226	6468,5	537,0
Copia	Ivana	complete	943	4781,0	331,0
Copia	Ivana	incomplete	915	3056,0	337,0
Copia	SIRE	complete	1	11547,0	1435,0
Copia	SIRE	incomplete	428	5424,0	1462,0
Copia	TAR	complete	1	5944,0	679,0
Copia	TAR	incomplete	50	6099,5	673,0
Copia	Tork	complete	524	4825,5	284,0
Copia	Tork	incomplete	343	4644,0	430,0
Gypsy	Athila	complete	111	12329,0	1636,0
Gypsy	Athila	incomplete	2272	12390,0	1080,0
Gypsy	CRM	complete	595	5209,0	432,0
Gypsy	CRM	incomplete	425	4589,0	456,0
Gypsy	Galadriel	complete	4	5737,0	524,0
Gypsy	Galadriel	incomplete	2	5731,0	508,5
Gypsy	Ogre	incomplete	53	23172,0	5433,0
Gypsy	Reina	complete	137	5004,0	353,0
Gypsy	Reina	incomplete	423	1724,0	321,0
Gypsy	Retand	complete	15	12166,0	435,0
Gypsy	Retand	incomplete	12	9831,0	438,5
Gypsy	TAT	incomplete	18	8412,0	585,0
Gypsy	Tekay	complete	152	9528,0	2429,0
Gypsy	Tekay	incomplete	1559	9656,0	2438,0
TRIM	TRIM	incomplete	353	1702,0	252,0
