Specie	TE_class	TE_order	TE_lineage	Abundance_absolute	Relative_pct
R_rugosa	Class_I	LTR	Copia	429	54,2351
R_rugosa	Class_I	LTR	Gypsy	190	24,0202
R_rugosa	Class_I	LTR	Other	41	5,1833
R_rugosa	Class_I	LINE	LINE	17	2,1492
R_rugosa	Class_I	Pararetrovirus	Pararetrovirus	0	0,0
R_rugosa	Class_II	Subclass_1	PIF/Harbinger	2	0,2528
R_rugosa	Class_II	Subclass_1	EnSpm/CACTA	0	0,0
R_rugosa	Class_II	Subclass_1	hAT	96	12,1365
R_rugosa	Class_II	Subclass_1	MuDR/Mutator	15	1,8963
R_rugosa	Class_II	Subclass_1	Merlin	0	0,0
R_rugosa	Class_II	Subclass_2	Helitron	1	0,1264
R_alba	Class_I	LTR	Copia	504	73,1495
R_alba	Class_I	LTR	Gypsy	36	5,225
R_alba	Class_I	LTR	Other	26	3,7736
R_alba	Class_I	LINE	LINE	7	1,016
R_alba	Class_I	Pararetrovirus	Pararetrovirus	2	0,2903
R_alba	Class_II	Subclass_1	PIF/Harbinger	0	0,0
R_alba	Class_II	Subclass_1	EnSpm/CACTA	0	0,0
R_alba	Class_II	Subclass_1	hAT	88	12,7721
R_alba	Class_II	Subclass_1	MuDR/Mutator	25	3,6284
R_alba	Class_II	Subclass_1	Merlin	0	0,0
R_alba	Class_II	Subclass_2	Helitron	1	0,1451
R_cephalotes	Class_I	LTR	Copia	973	54,0856
R_cephalotes	Class_I	LTR	Gypsy	308	17,1206
R_cephalotes	Class_I	LTR	Other	304	16,8983
R_cephalotes	Class_I	LINE	LINE	23	1,2785
R_cephalotes	Class_I	Pararetrovirus	Pararetrovirus	6	0,3335
R_cephalotes	Class_II	Subclass_1	PIF/Harbinger	2	0,1112
R_cephalotes	Class_II	Subclass_1	EnSpm/CACTA	0	0,0
R_cephalotes	Class_II	Subclass_1	hAT	78	4,3357
R_cephalotes	Class_II	Subclass_1	MuDR/Mutator	95	5,2807
R_cephalotes	Class_II	Subclass_1	Merlin	0	0,0
R_cephalotes	Class_II	Subclass_2	Helitron	10	0,5559
R_ridleyi	Class_I	LTR	Copia	1642	56,9151
R_ridleyi	Class_I	LTR	Gypsy	480	16,6378
R_ridleyi	Class_I	LTR	Other	237	8,2149
R_ridleyi	Class_I	LINE	LINE	152	5,2686
R_ridleyi	Class_I	Pararetrovirus	Pararetrovirus	5	0,1733
R_ridleyi	Class_II	Subclass_1	PIF/Harbinger	2	0,0693
R_ridleyi	Class_II	Subclass_1	EnSpm/CACTA	9	0,312
R_ridleyi	Class_II	Subclass_1	hAT	316	10,9532
R_ridleyi	Class_II	Subclass_1	MuDR/Mutator	22	0,7626
R_ridleyi	Class_II	Subclass_1	Merlin	0	0,0
R_ridleyi	Class_II	Subclass_2	Helitron	20	0,6932
R_gaudichaudii	Class_I	LTR	Copia	1833	61,5307
R_gaudichaudii	Class_I	LTR	Gypsy	382	12,8231
R_gaudichaudii	Class_I	LTR	Other	159	5,3374
R_gaudichaudii	Class_I	LINE	LINE	308	10,339
R_gaudichaudii	Class_I	Pararetrovirus	Pararetrovirus	6	0,2014
R_gaudichaudii	Class_II	Subclass_1	PIF/Harbinger	5	0,1678
R_gaudichaudii	Class_II	Subclass_1	EnSpm/CACTA	12	0,4028
R_gaudichaudii	Class_II	Subclass_1	hAT	36	1,2085
R_gaudichaudii	Class_II	Subclass_1	MuDR/Mutator	154	5,1695
R_gaudichaudii	Class_II	Subclass_1	Merlin	0	0,0
R_gaudichaudii	Class_II	Subclass_2	Helitron	84	2,8197
R_radicans	Class_I	LTR	Copia	2464	73,0507
R_radicans	Class_I	LTR	Gypsy	386	11,4438
R_radicans	Class_I	LTR	Other	13	0,3854
R_radicans	Class_I	LINE	LINE	77	2,2828
R_radicans	Class_I	Pararetrovirus	Pararetrovirus	6	0,1779
R_radicans	Class_II	Subclass_1	PIF/Harbinger	3	0,0889
R_radicans	Class_II	Subclass_1	EnSpm/CACTA	9	0,2668
R_radicans	Class_II	Subclass_1	hAT	192	5,6923
R_radicans	Class_II	Subclass_1	MuDR/Mutator	61	1,8085
R_radicans	Class_II	Subclass_1	Merlin	0	0,0
R_radicans	Class_II	Subclass_2	Helitron	162	4,8028
R_radicans_var_watsonii	Class_I	LTR	Copia	3646	76,404
R_radicans_var_watsonii	Class_I	LTR	Gypsy	558	11,6932
R_radicans_var_watsonii	Class_I	LTR	Other	14	0,2934
R_radicans_var_watsonii	Class_I	LINE	LINE	87	1,8231
R_radicans_var_watsonii	Class_I	Pararetrovirus	Pararetrovirus	1	0,021
R_radicans_var_watsonii	Class_II	Subclass_1	PIF/Harbinger	0	0,0
R_radicans_var_watsonii	Class_II	Subclass_1	EnSpm/CACTA	19	0,3982
R_radicans_var_watsonii	Class_II	Subclass_1	hAT	160	3,3529
R_radicans_var_watsonii	Class_II	Subclass_1	MuDR/Mutator	70	1,4669
R_radicans_var_watsonii	Class_II	Subclass_1	Merlin	0	0,0
R_radicans_var_watsonii	Class_II	Subclass_2	Helitron	217	4,5474
R_pubera	Class_I	LTR	Copia	11285	60,3282
R_pubera	Class_I	LTR	Gypsy	3045	16,2782
R_pubera	Class_I	LTR	Other	2516	13,4502
R_pubera	Class_I	LINE	LINE	244	1,3044
R_pubera	Class_I	Pararetrovirus	Pararetrovirus	2	0,0107
R_pubera	Class_II	Subclass_1	PIF/Harbinger	8	0,0428
R_pubera	Class_II	Subclass_1	EnSpm/CACTA	114	0,6094
R_pubera	Class_II	Subclass_1	hAT	1347	7,2009
R_pubera	Class_II	Subclass_1	MuDR/Mutator	122	0,6522
R_pubera	Class_II	Subclass_1	Merlin	18	0,0962
R_pubera	Class_II	Subclass_2	Helitron	5	0,0267
R_breviuscula	Class_I	LTR	Copia	2889	65,8987
