Class	Lineage	Total abundance	Relative total (%)	Median abundance	CV (%)
Class_I	Copia	53877	62,0053	2148,5	92,2725
Class_I	Gypsy	18157	20,8963	465,5	143,1986
Class_I	Other	5758	6,6267	157	193,6939
Class_I	LINE	2235	2,5722	80,5	84009
Class_I	Pararetrovirus	145	0,1669	4,5	141,5762
Class_II	hAT	3893	4,4803	114	145,7452
Class_II	MuDR/Mutator	1553	1,7873	65,5	77,7959
Class_II	Helitron	867	0,9978	14,5	153,7015
Class_II	EnSpm/CACTA	318	366	8,5	178,1329
Class_II	PIF/Harbinger	70	0,0806	2	132,2368
Class_II	Merlin	18	0,0207	0	447,2136
