Species	TE_class	TE_order	TE_superfamily	TE_clade	TE_lineage	Structural_category	Count
R_alba	Class_I	LTR	Copia	NA	Ale	TR-GAG-like	92
R_alba	Class_I	LTR	Copia	NA	Ale	complete	57
R_alba	Class_I	LTR	Copia	NA	Ale	degenerate	43
R_alba	Class_I	LTR	Copia	NA	Ale	isolated_fragment	62
R_alba	Class_I	LTR	Copia	NA	Alesia	TR-GAG-like	19
R_alba	Class_I	LTR	Copia	NA	Alesia	complete	12
R_alba	Class_I	LTR	Copia	NA	Alesia	degenerate	6
R_alba	Class_I	LTR	Copia	NA	Alesia	isolated_fragment	1
R_alba	Class_I	LTR	Copia	NA	Angela	TR-GAG-like	5
R_alba	Class_I	LTR	Copia	NA	Angela	complete	3
R_alba	Class_I	LTR	Copia	NA	Angela	degenerate	15
R_alba	Class_I	LTR	Copia	NA	Angela	isolated_fragment	28
R_alba	Class_I	LTR	Copia	NA	Bianca	TR-GAG-like	1
R_alba	Class_I	LTR	Copia	NA	Bianca	complete	4
R_alba	Class_I	LTR	Copia	NA	Bianca	degenerate	5
R_alba	Class_I	LTR	Copia	NA	Ikeros	TR-GAG-like	7
R_alba	Class_I	LTR	Copia	NA	Ikeros	complete	25
R_alba	Class_I	LTR	Copia	NA	Ikeros	degenerate	19
R_alba	Class_I	LTR	Copia	NA	Ikeros	isolated_fragment	11
R_alba	Class_I	LTR	Copia	NA	Ivana	TR-GAG-like	2
R_alba	Class_I	LTR	Copia	NA	Ivana	complete	28
R_alba	Class_I	LTR	Copia	NA	Ivana	degenerate	11
R_alba	Class_I	LTR	Copia	NA	Ivana	isolated_fragment	5
R_alba	Class_I	LTR	Copia	NA	SIRE	degenerate	31
R_alba	Class_I	LTR	Copia	NA	SIRE	isolated_fragment	9
R_alba	Class_I	LTR	Copia	NA	Tork	complete	1
R_alba	Class_I	LTR	Copia	NA	Tork	degenerate	2
R_alba	Class_I	LTR	Gypsy	chromovirus	CRM	TR-GAG-like	1
R_alba	Class_I	LTR	Gypsy	chromovirus	CRM	complete	3
R_alba	Class_I	LTR	Gypsy	chromovirus	CRM	degenerate	3
R_alba	Class_I	LTR	Gypsy	chromovirus	CRM	isolated_fragment	2
R_alba	Class_I	LTR	Gypsy	chromovirus	Galadriel	complete	3
R_alba	Class_I	LTR	Gypsy	chromovirus	Galadriel	degenerate	2
R_alba	Class_I	LTR	Gypsy	chromovirus	Reina	TR-GAG-like	4
R_alba	Class_I	LTR	Gypsy	chromovirus	Reina	degenerate	1
R_alba	Class_I	LTR	Gypsy	chromovirus	Reina	isolated_fragment	11
R_alba	Class_I	LTR	Gypsy	chromovirus	Tekay	TR-GAG-like	4
R_alba	Class_I	LTR	Gypsy	chromovirus	Tekay	degenerate	3
R_alba	Class_I	LTR	Gypsy	chromovirus	Tekay	isolated_fragment	15
R_alba	Class_I	LTR	Gypsy	non/chromovirus|OTA	Athila	TR-GAG-like	1
R_alba	Class_I	LTR	Gypsy	non/chromovirus|OTA	Athila	degenerate	4
R_alba	Class_I	LTR	Gypsy	non/chromovirus|OTA	Athila	isolated_fragment	13
R_alba	Class_I	LTR	Gypsy	non/chromovirus|OTA|Tat	Ogre	TR-GAG-like	51
R_alba	Class_I	LTR	Gypsy	non/chromovirus|OTA|Tat	Ogre	isolated_fragment	29
